,Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Start_Year,End_Year
0,2023-24,NBA,BOS,64.0,18.0,1.0,28.2,6-7,216.0,82.0,241.8,43.9,90.2,0.487,16.5,42.5,0.388,27.4,47.7,0.575,16.3,20.2,0.807,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,BOS,2023,2024
1,2022-23,NBA,BOS,57.0,25.0,1.0,27.4,6-6,222.0,82.0,243.7,42.2,88.8,0.475,16.0,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,BOS,2022,2023
2,2021-22,NBA,BOS,51.0,31.0,1.0,26.1,6-5,218.0,82.0,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17.0,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,BOS,2021,2022
3,2020-21,NBA,BOS,36.0,36.0,4.0,25.1,6-5,220.0,72.0,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,BOS,2020,2021
4,2019-20,NBA,BOS,48.0,24.0,2.0,25.3,6-5,221.0,72.0,242.1,41.3,89.6,0.461,12.6,34.5,0.364,28.7,55.0,0.522,18.6,23.2,0.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,BOS,2019,2020
5,2018-19,NBA,BOS,49.0,33.0,3.0,25.7,6-5,220.0,82.0,241.2,42.1,90.5,0.465,12.6,34.5,0.365,29.5,56.0,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,BOS,2018,2019
6,2017-18,NBA,BOS,55.0,27.0,2.0,24.7,6-6,221.0,82.0,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,54.7,0.491,16.0,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,BOS,2017,2018
7,2016-17,NBA,BOS,53.0,29.0,1.0,25.9,6-5,219.0,82.0,240.9,38.6,85.1,0.454,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,BOS,2016,2017
8,2015-16,NBA,BOS,48.0,34.0,2.0,25.2,6-5,220.0,82.0,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,BOS,2015,2016
9,2014-15,NBA,BOS,40.0,42.0,2.0,25.0,6-6,221.0,82.0,242.4,38.9,87.9,0.443,8.0,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,BOS,2014,2015
10,2013-14,NBA,BOS,25.0,57.0,4.0,25.4,6-6,221.0,82.0,240.6,36.5,83.9,0.435,7.0,21.1,0.333,29.5,62.9,0.47,16.2,20.8,0.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2,BOS,2013,2014
11,2012-13,NBA,BOS,41.0,40.0,3.0,29.1,6-6,214.0,81.0,244.9,37.0,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21.0,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,BOS,2012,2013
12,2011-12,NBA,BOS,39.0,27.0,1.0,29.3,6-6,213.0,66.0,241.5,35.5,77.1,0.46,5.5,15.0,0.367,30.0,62.1,0.483,15.4,19.8,0.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,BOS,2011,2012
13,2010-11,NBA,BOS,56.0,26.0,1.0,29.5,6-6,223.0,82.0,241.2,36.9,75.8,0.486,5.0,13.6,0.365,31.9,62.2,0.513,17.8,23.1,0.77,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,96.5,BOS,2010,2011
14,2009-10,NBA,BOS,50.0,32.0,1.0,29.4,6-6,219.0,82.0,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31.0,59.3,0.523,19.0,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,BOS,2009,2010
15,2008-09,NBA,BOS,62.0,20.0,1.0,27.8,6-6,222.0,82.0,242.4,37.5,77.2,0.486,6.6,16.5,0.397,30.9,60.7,0.51,19.4,25.3,0.765,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,100.9,BOS,2008,2009
16,2007-08,NBA,BOS,66.0,16.0,1.0,27.9,6-6,220.0,82.0,240.9,36.4,76.7,0.475,7.3,19.1,0.381,29.1,57.6,0.506,20.5,26.5,0.771,10.1,31.9,42.0,22.4,8.5,4.6,15.2,22.7,100.5,BOS,2007,2008
17,2006-07,NBA,BOS,24.0,58.0,5.0,23.5,6-6,221.0,82.0,242.1,34.9,78.7,0.443,5.7,15.6,0.367,29.1,63.1,0.462,20.4,26.6,0.767,11.2,29.2,40.4,19.9,7.2,4.7,16.5,24.0,95.8,BOS,2006,2007
18,2005-06,NBA,BOS,33.0,49.0,3.0,25.3,6-7,227.0,82.0,242.4,36.0,77.1,0.467,5.7,15.7,0.362,30.3,61.4,0.494,20.3,26.9,0.755,9.9,29.7,39.6,20.9,7.0,5.1,16.6,24.8,98.0,BOS,2005,2006
19,2004-05,NBA,BOS,45.0,37.0,1.0,27.1,6-7,218.0,82.0,242.4,37.1,79.4,0.468,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,BOS,2004,2005
20,2003-04,NBA,BOS,36.0,46.0,4.0,26.4,6-7,218.0,82.0,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3,BOS,2003,2004
21,2002-03,NBA,BOS,44.0,38.0,3.0,26.9,6-6,218.0,82.0,241.8,32.9,79.4,0.415,8.8,26.3,0.334,24.2,53.1,0.455,18.0,24.3,0.742,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,92.7,BOS,2002,2003
22,2001-02,NBA,BOS,49.0,33.0,2.0,26.2,6-6,220.0,82.0,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4,BOS,2001,2002
23,2000-01,NBA,BOS,36.0,46.0,5.0,25.9,6-6,221.0,82.0,241.8,33.8,79.1,0.428,7.2,19.9,0.363,26.6,59.2,0.45,19.8,26.7,0.74,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6,BOS,2000,2001
